FID,COUNT,AREA,SUM,PERCENTAGE
526,28495,0.000896114,0,0
527,770885,0.024242884,222,0.000287981
528,635476,0.019984526,0,0
529,509449,0.016021213,335,0.000657573
530,1884751,0.059271876,226,0.00011991
531,30621,0.000962973,0,0
532,2957203,0.092998476,0,0
533,26090382,0.820493474,0,0
534,9125575,0.286982181,0,0
535,15535,0.000488547,0,0
536,661387,0.020799378,0,0
537,159061,0.005002169,0,0
538,384848,0.012102746,0,0
539,716498,0.022532515,0,0
540,1955,6.14811E-05,0,0
541,3479,0.000109408,0,0
542,11185,0.000351747,0,0
543,24442,0.000768655,77,0.003150315
544,6454787,0.202990919,26690,0.004134916
545,10295651,0.323778872,49284,0.004786876
546,9715,0.000305518,0,0
547,1861892,0.058553004,0,0
548,2065536,0.064957225,74,3.58261E-05
549,4407434,0.138605515,0,0
550,1174007,0.036920313,0,0
551,20612,0.000648209,0,0
552,5787,0.00018199,0,0
553,75561,0.002376251,0,0
