FID,COUNT,AREA,SUM,aug_22,nov_dec_24,oct_24,recur
526,28428,0.000895371,0,0,0,0,0
531,30573,0.00096293,0,0,0,0,0
532,2952839,0.09300291,0,0,0,0,0
533,26050591,0.820492001,0,0,0,0,0
535,15511,0.000488536,0,0,0,0,0
536,660505,0.020803331,0,0,0,0,0
537,158804,0.005001707,0,0,0,0,0
538,384216,0.012101305,0,0,0,0,0
539,715490,0.022535144,0,0,0,0,0
540,1951,6.14489E-05,0,0,0,0,0
541,3478,0.000109543,0,0,0,0,0
542,11169,0.00035178,0,0,0,0,0
546,9708,0.000305764,0,0,0,0,0
549,4400728,0.138605766,0,0,0,0,0
551,20580,0.00064819,0,0,0,0,0
552,5787,0.000182268,0,0,0,0,0
553,75439,0.002376034,0,0,0,0,0
