fid,2021-01_vhi,2021-02_vhi,2021-03_vhi,2021-04_vhi,2021-05_vhi,2021-06_vhi,2021-07_vhi,2021-08_vhi,2021-09_vhi,2021-10_vhi,2021-11_vhi,2021-12_vhi,2022-01_vhi,2022-02_vhi,2022-03_vhi,2022-04_vhi,2022-05_vhi,2022-06_vhi,2022-07_vhi,2022-08_vhi,2022-09_vhi,2022-10_vhi,2022-11_vhi,2022-12_vhi,2023-01_vhi,2023-02_vhi,2023-03_vhi,2023-04_vhi,2023-05_vhi,2023-06_vhi,2023-07_vhi,2023-08_vhi,2023-09_vhi,2023-10_vhi,2023-11_vhi,2023-12_vhi,2024-01_vhi,2024-02_vhi,2024-03_vhi,2024-04_vhi,2024-05_vhi,2024-06_vhi,2024-07_vhi,2024-08_vhi,2024-09_vhi,2024-10_vhi,2024-11_vhi,2024-12_vhi
23,0.435963492,0.483607041,0.596481562,0.557510013,0.672791236,0.65997564,0.408748007,0.673786085,0.565198914,0.639126375,0.446473026,0.339648505,0.327821047,0.429127636,0.612376184,0.594669783,0.590668134,0.839625686,0.500918419,0.654559899,0.684890111,0.815776615,0.659448756,0.525965315,0.529321367,0.516885274,0.554579214,0.61386223,0.616595789,0.794873315,0.628907722,0.682455136,0.62521221,0.514112797,0.36613623,0.292070467,0.164052327,0.245726783,0.466568496,0.52780649,0.584491723,0.728951399,0.848230072,0.707538004,0.511328284,0.648949436,0.624230664,0.508908138
24,46.46275123,46.5460285,46.47547568,46.53184701,46.49398436,46.46386865,46.48803514,46.4520645,46.32115277,46.34573923,46.47622456,46.43263553,46.42673023,46.51127491,46.58184701,46.54755517,46.47234198,46.49680523,46.50516927,46.56744697,46.44278766,46.3631712,46.46832119,46.42160703,46.44647525,46.61108849,46.43683094,46.49422648,46.50608743,46.44413328,46.47900364,46.47699808,46.38122991,46.36113349,46.44998714,46.40776409,46.3846186,46.51157489,46.47698093,46.46991537,46.48594815,46.47813585,46.51441825,46.53559674,46.41577352,46.37744804,46.49464431,46.46914078
25,232.3857865,232.3828884,232.380185,232.3845932,232.3822793,232.3758373,232.3776395,232.3733405,232.3680193,232.372354,232.3832778,232.3843747,232.3728775,232.3739247,232.3846906,232.3845932,232.3812808,232.3767622,232.3772252,232.3911077,232.3843985,232.3747166,232.3886121,232.3895987,232.3805257,232.385397,232.3830474,232.3863836,232.3812559,232.3759833,232.3748258,232.3714161,232.3744494,232.3712094,232.3774329,232.3835829,232.3686402,232.3768964,232.3813295,232.3824135,232.3791497,232.3748994,232.3819624,232.3825227,232.3772371,232.3723788,232.3785288,232.3805993
26,30.06534666,30.13383407,30.09945794,30.11981628,30.09377564,30.03640873,30.03863672,29.997463,29.92560633,29.93344521,30.10170605,30.04978188,30.06436185,30.06902947,30.15442483,30.12494353,30.07662296,30.07184887,30.07436315,30.06383212,30.01582251,29.93901454,30.11029732,30.07453194,30.08942872,30.21137497,30.0406297,30.09401129,30.10356661,30.02942417,30.02786809,29.98721566,29.95321929,29.93290119,30.05714295,30.0272637,29.9881362,30.08482927,30.05807063,30.0378577,30.07312062,30.04686186,30.07116203,30.02348806,29.96127305,29.93671384,30.09905544,30.06322189
27,13.65553753,13.728852,13.69420035,13.68399516,13.62238496,13.60267606,13.59735292,13.55912536,13.44720874,13.44814848,13.62268015,13.59682016,13.55829845,13.62210887,13.75462643,13.70290101,13.59489229,13.60909163,13.62179119,13.6761013,13.52345559,13.48093769,13.62665178,13.60178881,13.64658804,13.75088963,13.62759561,13.65874565,13.63353432,13.58892801,13.59110232,13.59893721,13.5355256,13.45936328,13.57674824,13.58769071,13.53942396,13.6356391,13.66667428,13.62856568,13.64215182,13.60017826,13.65904185,13.60886461,13.53880564,13.47015952,13.61013532,13.6001902
28,12.20055024,12.15535993,12.25502482,12.34199173,12.48072636,12.32293795,12.20398138,12.30658747,12.35939746,12.20342435,12.16350621,12.03293913,12.08853014,12.18576861,12.35030407,12.30323286,12.38448965,12.62940131,12.46250059,12.47227157,12.49656412,12.51966785,12.46813652,12.27680643,12.33770509,12.27676566,12.26409367,12.39020951,12.40067228,12.50382181,12.49726477,12.40280496,12.34684634,12.21127482,12.12552955,12.00383688,12.05280319,12.06170656,12.15104137,12.32774291,12.37295212,12.33027542,12.42012175,12.42123286,12.38397547,12.39603044,12.2806909,12.18806294
29,0.483552276,0.448215566,0.394082364,0.617861199,0.61975864,0.723100359,0.564083362,0.613568833,0.573999994,0.409352881,0.427361161,0.2949051,0.549439482,0.446080414,0.437474063,0.599733239,0.564227862,0.836611054,0.578779731,0.750819676,0.766563069,0.56563063,0.498328261,0.401250043,0.559208894,0.488685451,0.379651311,0.653702355,0.677859308,0.923742418,0.686612946,0.62163484,0.543815807,0.356547167,0.380522651,0.292789948,0.462745475,0.327023213,0.22392616,0.439384858,0.494475727,0.622516089,0.598564358,0.736872173,0.778899795,0.78409689,0.807533922,0.610657275
30,0.479510263,0.466229776,0.438482158,0.62046892,0.62581731,0.745472789,0.576538331,0.628966029,0.584521343,0.364216537,0.375007373,0.253667861,0.5318857,0.456935683,0.488132097,0.594790143,0.5471789,0.853883911,0.646283791,0.763014296,0.701914787,0.543003098,0.410437067,0.32088061,0.531836254,0.488588635,0.423670793,0.661966111,0.655378657,0.981344767,0.61065181,0.57052106,0.497085741,0.372151651,0.370788879,0.234982648,0.420994461,0.329412505,0.276590998,0.446364277,0.483230344,0.647311038,0.65031727,0.70752835,0.728300693,0.794574341,0.745125743,0.523766803
31,0.411991303,0.439735714,0.361421401,0.606635308,0.601835439,0.71886475,0.597794011,0.648686455,0.652708024,0.480375224,0.46172564,0.411551205,0.476724382,0.432945412,0.426055433,0.648174773,0.575555945,0.81835571,0.543891825,0.708037239,0.876916188,0.667528948,0.563519508,0.514084974,0.516600205,0.48903906,0.328781515,0.697416965,0.694712115,0.951742351,0.752292038,0.730597277,0.704033043,0.386645521,0.377917707,0.401381057,0.451956049,0.367688076,0.23637893,0.481027129,0.520365607,0.686024075,0.565068527,0.689786842,0.851765265,0.778803829,0.698435824,0.649770008
32,0.342943752,0.401478027,0.596338988,0.637037238,0.627920011,0.708629305,0.48226821,0.457119948,0.485895793,0.758636786,0.506968405,0.335793297,0.345020205,0.552993398,0.619790931,0.565528757,0.696495957,1.064517589,0.799700683,0.646929761,0.688278616,0.693284075,0.563323561,0.343038078,0.44754177,0.584239909,0.552104053,0.663583037,104.6430134,0.877492837,0.654400226,0.510588518,0.769995291,0.720612974,0.407499568,0.256627485,0.31035153,0.406866724,0.520607872,0.679040445,0.684789308,0.496956886,0.537220802,0.448210364,0.650403069,0.744965236,0.440567861,0.419396026
