fid,REGION,DEPARTEMEN,COM_ARRT_V,COMMUNE,ARRONDISSE,_count,_sum,class1_percentage,class6_percentage,class8_percentage,class7_percentage,class9_percentage,class2_percentage,class3_percentage,class4_percentage,class5_percentage
392,MATAM,KANEL,ORKADIERE,AOURE,ORKADIERE,2018146,8576,0.004,0.005,0.001,0.002,0,0,0.001,0.723,0.26
393,MATAM,KANEL,ORKADIERE,BOKILADJI,ORKADIERE,680968,1997,0.003,0.008,0.001,0.004,0,0.001,0.002,0.285,0.695
394,MATAM,KANEL,ORKADIERE,ORKADIERE,ORKADIERE,335134,4816,0.014,0.033,0.004,0.014,0,0.001,0.001,0.081,0.847
395,MATAM,KANEL,ORKADIERE,SEMME,ORKADIERE,37345,839,0.022,0,0,0.024,0,0,0,0.062,0.89
396,FATICK,GOSSAS,GOSSAS,GOSSAS,,5236,2046,0.391,0,0,0.476,0,0,0,0.056,0.077
397,FATICK,GOSSAS,OUADIOUR,NDIENE LAGANE,OUADIOUR,180215,148434,0.824,0,0,0.005,0,0,0,0.011,0.16
398,FATICK,GOSSAS,OUADIOUR,OUADIOUR,OUADIOUR,188977,169835,0.899,0,0,0.005,0,0,0,0.009,0.087
399,FATICK,GOSSAS,OUADIOUR,PATAR LIA,OUADIOUR,188467,172333,0.914,0,0,0.007,0,0,0.001,0.009,0.068
400,MATAM,KANEL,WOURO SIDY,ODOBERE,WOURO SIDY,8534,1,0,0.108,0.013,0.102,0.002,0,0,0.016,0.753
401,MATAM,KANEL,WOURO SIDY,SINTHIOU BAMAMBE BANADJI,WOURO SIDY,16853,721,0.043,0,0.007,0.116,0,0,0,0.014,0.814
402,ZIGUINCHOR,OUSSOUYE,OUSSOUYE,OUSSOUYE,,4050,69,0.017,0,0,0.236,0,0,0.626,0.077,0.043
403,KOLDA,VELINGARA,PAKOUR,OUASSADOU,PAKOUR,486828,1949,0.004,0.001,0,0.004,0,0,0.83,0.154,0.007
404,KOLDA,VELINGARA,PAKOUR,PAKOUR,PAKOUR,389417,1892,0.005,0.005,0,0.003,0.01,0,0.796,0.167,0.014
405,KOLDA,VELINGARA,PAKOUR,PAROUMBA,PAKOUR,542920,2753,0.005,0.003,0,0.002,0.001,0,0.829,0.139,0.019
406,THIES,TIVAOUANE,PAMBAL,CHERIF LO,PAMBAL,120771,66882,0.554,0,0.002,0.026,0,0,0.001,0.164,0.252
407,THIES,TIVAOUANE,PAMBAL,MONT ROLLAND,PAMBAL,202005,27242,0.135,0.001,0.001,0.013,0,0,0.047,0.541,0.26
408,THIES,TIVAOUANE,PAMBAL,NOTTO GOUYE DIAMA,PAMBAL,152604,56364,0.369,0.002,0.009,0.028,0,0,0.02,0.25,0.303
409,THIES,TIVAOUANE,PAMBAL,PAMBAL,PAMBAL,52619,7728,0.147,0,0.01,0.029,0,0,0.009,0.447,0.351
410,THIES,TIVAOUANE,PAMBAL,PIRE GOUREYE,PAMBAL,181197,107011,0.591,0,0,0.016,0,0,0.001,0.018,0.372
411,KAOLACK,NIORO,PAOSKOTO,DABALY,PAOSKOTO,131624,71408,0.543,0.085,0.006,0.008,0.015,0,0.051,0.202,0.091
412,KAOLACK,NIORO,PAOSKOTO,DAROU SALAM,PAOSKOTO,232618,181404,0.78,0,0,0.011,0,0,0.01,0.098,0.101
413,KAOLACK,NIORO,PAOSKOTO,GAINTHE KAYE,PAOSKOTO,187728,175005,0.932,0,0,0.014,0,0,0.019,0.014,0.02
414,KAOLACK,NIORO,PAOSKOTO,PAOS KOTO,PAOSKOTO,130044,108794,0.837,0,0,0.015,0,0,0.01,0.056,0.083
415,KAOLACK,NIORO,PAOSKOTO,POROKHANE,PAOSKOTO,298772,220860,0.739,0.018,0.002,0.012,0.009,0,0.078,0.092,0.05
416,KAOLACK,NIORO,PAOSKOTO,TAIBA NIASSENE,PAOSKOTO,139911,131381,0.939,0,0,0.02,0,0,0.002,0.012,0.027
417,DAKAR,DAKAR,VILLE DE DAKAR,CAMBERENE,PARCELLES ASSAINIES,2033,0,0,0,0.096,0.879,0.002,0,0,0,0.021
418,DAKAR,DAKAR,VILLE DE DAKAR,GRAND YOFF,PARCELLES ASSAINIES,7229,0,0,0,0.002,0.96,0,0,0.001,0.002,0.034
419,DAKAR,DAKAR,VILLE DE DAKAR,PARCELLES ASSAINIES,PARCELLES ASSAINIES,4171,0,0,0,0.02,0.97,0,0,0,0,0.008
